"reference","file","family","category","load_result","runtime_hit_count","runtime_locations","mapped_to"
"wave42/sdxl/skin_imperfections/sdxl_hair_heavily_freckled_SDXL_NSFW.safetensors","sdxl_hair_heavily_freckled_SDXL_NSFW.safetensors","SDXL","ModelRef","found","1","C:\Comfy_UI\Runtime_Data\models\loras\wave42\sdxl\skin_imperfections\sdxl_hair_heavily_freckled_SDXL_NSFW.safetensors",
"wave42/sdxl/skin_texture/sdxl_skin_texture_Wet_Makeup__Runny_Mascara-000006.safetensors","sdxl_skin_texture_Wet_Makeup__Runny_Mascara-000006.safetensors","SDXL","ModelRef","found","1","C:\Comfy_UI\Runtime_Data\models\loras\wave42\sdxl\skin_texture\sdxl_skin_texture_Wet_Makeup__Runny_Mascara-000006.safetensors",
"z_image_turbo_bf16.safetensors","z_image_turbo_bf16.safetensors","Other","ModelRef","found","1","C:\Comfy_UI\Runtime_Data\models\diffusion_models\z_image_turbo_bf16.safetensors",
"/home/ubuntu/ComfyUI/models/ultralytics/bbox/hand_yolov8n.pt","hand_yolov8n.pt","Vision-Control","ModelRef","missing","0","",
"bbox/hand_yolov8n.pt","hand_yolov8n.pt","Vision-Control","ModelRef","missing","0","",
"C:\Comfy_UI_Lora\downloads\Hands\Better hands flux v1.0.safetensors","Better hands flux v1.0.safetensors","Flux","ModelRef","missing","0","",
"C:\Comfy_UI_Lora\downloads\Hands\Detailed_Hands-000001.safetensors","Detailed_Hands-000001.safetensors","Other","ModelRef","missing","0","",
"C:\Comfy_UI_Lora\downloads\Hands\feminine_hands.safetensors","feminine_hands.safetensors","Other","ModelRef","missing","0","",
"C:\Comfy_UI_Lora\downloads\Hands\Hand v2.safetensors","Hand v2.safetensors","Other","ModelRef","missing","0","",
"C:\Comfy_UI_Lora\downloads\Hands\Hands.safetensors","Hands.safetensors","Other","ModelRef","missing","0","",
"dw-ll_ucoco_384_bs5.torchscript.pt","dw-ll_ucoco_384_bs5.torchscript.pt","Vision-Control","ModelRef","missing","0","",
"sam_vit_b_01ec64.pth","sam_vit_b_01ec64.pth","Vision-Control","ModelRef","missing","0","",
"yolox_l.onnx","yolox_l.onnx","Vision-Control","ModelRef","missing","0","",
