"reference","file","family","category","runtime_hit_count","runtime_locations","load_result","mapped_to"
"wave42/flux/skin/flux_skin_Bombshell_Flux_V3.safetensors","flux_skin_Bombshell_Flux_V3.safetensors","Flux","ModelRef","1","C:\Comfy_UI\Runtime_Data\models\loras\wave42\flux\skin\flux_skin_Bombshell_Flux_V3.safetensors","found",
"wave42/flux/skin/flux_skin_FC-Bandeau.safetensors","flux_skin_FC-Bandeau.safetensors","Flux","ModelRef","1","C:\Comfy_UI\Runtime_Data\models\loras\wave42\flux\skin\flux_skin_FC-Bandeau.safetensors","found",
"wave42/flux/skin/flux_skin_OiledSkin_FluxDev.safetensors","flux_skin_OiledSkin_FluxDev.safetensors","Flux","ModelRef","1","C:\Comfy_UI\Runtime_Data\models\loras\wave42\flux\skin\flux_skin_OiledSkin_FluxDev.safetensors","found",
"wave42/flux/style/flux_style_Hair_Style_Wet_Hair-Weak.safetensors","flux_style_Hair_Style_Wet_Hair-Weak.safetensors","Flux","ModelRef","1","C:\Comfy_UI\Runtime_Data\models\loras\wave42\flux\style\flux_style_Hair_Style_Wet_Hair-Weak.safetensors","found",
"wave42/sdxl/fluids/sdxl_fluids_Sweaty_Realism_4-000006.safetensors","sdxl_fluids_Sweaty_Realism_4-000006.safetensors","SDXL","ModelRef","1","C:\Comfy_UI\Runtime_Data\models\loras\wave42\sdxl\fluids\sdxl_fluids_Sweaty_Realism_4-000006.safetensors","found",
"wave42/sdxl/jewelry_accessories/sdxl_jewelry_accessories_Hands.safetensors","sdxl_jewelry_accessories_Hands.safetensors","SDXL","ModelRef","1","C:\Comfy_UI\Runtime_Data\models\loras\wave42\sdxl\jewelry_accessories\sdxl_jewelry_accessories_Hands.safetensors","found",
"wave42/sdxl/pose_camera/sdxl_adult_male_Double_Kiss_POV.safetensors","sdxl_adult_male_Double_Kiss_POV.safetensors","SDXL","ModelRef","1","C:\Comfy_UI\Runtime_Data\models\loras\wave42\sdxl\pose_camera\sdxl_adult_male_Double_Kiss_POV.safetensors","found",
"wave42/sdxl/skin_imperfections/sdxl_hair_heavily_freckled_SDXL_NSFW.safetensors","sdxl_hair_heavily_freckled_SDXL_NSFW.safetensors","SDXL","ModelRef","1","C:\Comfy_UI\Runtime_Data\models\loras\wave42\sdxl\skin_imperfections\sdxl_hair_heavily_freckled_SDXL_NSFW.safetensors","found",
"wave42/sdxl/skin_texture/sdxl_skin_texture_Wet_Makeup__Runny_Mascara-000006.safetensors","sdxl_skin_texture_Wet_Makeup__Runny_Mascara-000006.safetensors","SDXL","ModelRef","1","C:\Comfy_UI\Runtime_Data\models\loras\wave42\sdxl\skin_texture\sdxl_skin_texture_Wet_Makeup__Runny_Mascara-000006.safetensors","found",
"yolox_l.onnx","yolox_l.onnx","Vision-Control","ModelRef","0","","missing",
"z_image_turbo_bf16.safetensors","z_image_turbo_bf16.safetensors","SDXL","ModelRef","1","C:\Comfy_UI\Runtime_Data\models\diffusion_models\z_image_turbo_bf16.safetensors","found",
